id,journal,abstract
11,A,"Strengthening social integration could prevent suicidal behavior. However, minimal research has examined social integration through relationship network structure. To address this important gap, we tested whether structural characteristics of school networks predict school rates of ideation and attempts. In 38 US high schools, 10,291 students nominated close friends and trusted adults to construct social networks. We used mixed-effects logistic regression models to test individual student networks and likelihood of suicidal ideation (SI) and suicide attempts (SA); and linear regression models to estimate associations between school network characteristics and school rates of SI, SA, and SA among all with ideation. Lower peer network integration and cohesion increased likelihood of SI and SA across individual and school-level models. Two factors increased SA: student isolation from adults and suicidal students' popularity and clustering. A multivariable model identified higher SA in schools where youth-adult relationships were concentrated in fewer students (B = 4.95 [1.46, 8.44]) and suicidal students had higher relative popularity versus nonsuicidal peers (B = 0.93 [0.10, 1.77]). Schools had lower SA rates when more students named the same trusted adults named by friends and many students named the same trusted adults. When adjusting for depression, violence victimization and bullying, estimates for adult network characteristics were substantially unchanged whereas some peer effects decreased. Schoolwide peer and youth-adult relationship patterns influence SA rates beyond individual student connections. Network characteristics associated with suicide attempts map onto three theory-informed domains: social integration versus thwarted relational needs, group cohesion, and suicidal students' social influence. Network interventions addressing these processes, such as maximizing youth-adult connections schoolwide and heightening influence of youth with healthy coping, could create more protective schools. Longitudinal and intervention studies are needed to determine how schools differentiate in network structure and clarify reciprocal dynamics between network characteristics and suicidal behavior."
12,A,"In a large body of previous research, cross-lagged panel models (CLPMs) have been used to provide empirical support for developmental models that posit a cascade from externalising-to-internalising problems. These developmental models, however, arguably refer to within-person processes whereas CLPMs provide a difficult-to-interpret blend of within- and between- person effects. We used autoregressive latent trajectory models with structured residuals (ALT-SR) to evaluate whether there is evidence for externalising-to-internalising cascades at the within-person level when disaggregating between- and within- person effects. We used eight waves of data (age 7-15) from the Zurich Project on Social Development from Childhood to Adulthood (z-proso). ALT-SR fit better than the corresponding CLPMs. Using an ALT-SR, we found evidence for externalising-to-internalising cascades, consistent with previous CLPM studies. However, we also found some evidence for effects in the ALT-SR that were not apparent in the CLPM, including a negative effect of externalising on internalising problems in adolescence. In addition, a negative effect of internalising on externalising problems in adolescence was found in both the CLPM and ALT-SR. Within-person results were largely consistent with previous evidence from CLPMs; however, at the within-person level, externalising and internalising may negatively influence one another in adolescence."
13,A,"Previous research demonstrated atypical attention in children with attention-deficit/hyperactivity disorder (ADHD) and autism spectrum disorder (ASD). Regarding visual orienting, findings suggest a differential impairment: Atypical orienting to relatively unexpected targets in ASD, and atypical processing of alerting cues in ADHD. The locus coeruleus-norepinephrine (LC-NE) system plays an important role in exploiting alerting cues to increase attention and task performance. The present study's aim was to examine differential subcortical processes underlying visual orienting in ASD and ADHD with pupil dilation (PD) as index of LC activity. Pupil dilation (PD) progression metrics during visual orienting were calculated for task-evoked PD locked to cue, stimulus onset, and behavioral response. Group differences in PD and reaction time (RT) were compared between children with ASD without ADHD (ASD-) (N = 18), ADHD without ASD (ADHD-) (N = 28), both disorders (ASD + ADHD) (N = 14), and typically developing children (TD) (N = 31) using linear mixed models (LMM). To further explore the modulatory role of the LC-NE system group differences in the effect of task-evoked PD metrics on RT were examined exploratively. ASD (+ADHD) showed slower orienting responses to relatively unexpected spatial target stimuli as compared to TD, which was accompanied by higher PD amplitudes relative to ADHD- and TD. In ADHD-, shorter cue-evoked PD latencies relative to ASD-, ASD + ADHD, and TD were found. Group differences in the effect of cue- and stimulus-evoked PD amplitudes on RT were found in ASD- relative to TD. Study findings provide new evidence for a specific role of the LC-NE system in impaired reflexive orienting responses in ASD, and atypical visual processing of alerting cues in ADHD."
14,A,"Anorexia nervosa (AN) and autism spectrum disorder (ASD) may be phenotypically and etiologically linked. However, due to the absence of prospective studies, it remains unclear whether the elevation of autistic traits in AN is evident in early childhood. Here, we prospectively investigated autistic traits before and after the first diagnosis of AN. In a population-based sample of 5,987 individuals (52.4% female) from the Child and Adolescent Twin Study in Sweden, parents reported autistic traits at ages 9 and 18. AN and ASD diagnoses were retrieved from the Swedish National Patient Register. In addition, AN diagnoses were ascertained by parent-reported treatment for AN. We compared whether individuals with and without AN differed in autistic traits before the first diagnosis of AN (age 9) and after the first diagnosis of AN (age 18). We did not find evidence for elevated autistic traits in 9-year-old children later diagnosed with AN. At age 18, however, there was a marked elevation in restricted/repetitive behavior and interests, but only in the subgroup of individuals with acute AN. A less pronounced elevation was observed for social communication problems. Coping strategies in individuals with ASD and the somewhat different female ASD phenotype may explain why we did not find elevated autistic traits in children who later developed AN. Alternatively, it is possible that elevated autistic traits were not present prior to the onset of AN, thus questioning the previously reported elevated prevalence of ASD in AN. Future studies should use tailored measurements in order to investigate whether autistic traits in individuals with AN are best conceptualized as an epiphenomenon of the acute AN phase or whether these symptoms indeed represent ASD as a clinically verifiable neurodevelopmental disorder."
15,A,"Aggression in children has genetic and environmental causes. Studies of aggression can pool existing datasets to include more complex models of social effects. Such analyses require large datasets with harmonized outcome measures. Here, we made use of a reference panel for phenotype data to harmonize multiple aggression measures in school-aged children to jointly analyze data from five large twin cohorts. Individual level aggression data on 86,559 children (42,468 twin pairs) were available in five European twin cohorts measured by different instruments. A phenotypic reference panel was collected which enabled a model-based phenotype harmonization approach. A bi-factor integration model in the integrative data analysis framework was developed to model aggression across studies while adjusting for rater, age, and sex. Finally, harmonized aggression scores were analyzed to estimate contributions of genes, environment, and social interaction to aggression. The large sample size allowed adequate power to test for sibling interaction effects, with unique dynamics permitted for opposite-sex twins. The best-fitting model found a high level of overall heritability of aggression (similar to 60%). Different heritability rates of aggression across sex were marginally significant, with heritability estimates in boys of similar to 64% and similar to 58% in girls. Sibling interaction effects were only significant in the opposite-sex twin pairs: the interaction effect of males on their female co-twin differed from the effect of females on their male co-twin. An aggressive female had a positive effect on male co-twin aggression, whereas more aggression in males had a negative influence on a female co-twin. Opposite-sex twins displayed unique social dynamics of aggressive behaviors in a joint analysis of a large, multinational dataset. The integrative data analysis framework, applied in combination with a reference panel, has the potential to elucidate broad, generalizable results in the investigation of common psychological traits in children."
16,A,"Low educational attainment in parents is associated with child psychopathology. It is not clear whether the associations are due to risk factors that family members share or due to effects of maternal or paternal education on the offspring. We investigate whether associations between maternal and paternal educational attainment and child symptoms of attention deficit/hyperactivity disorder (ADHD), depression, and academic problems are due to shared genetic factors, shared family environmental factors, or effects of the parental phenotype educational attainment itself. This study is based on the Norwegian Mother, Father and Child Cohort Study (MoBa). The sample comprised 34,958 children (17,128 girls) in 28,372 extended-family units. We used data from related nuclear families linked by siblings in the parent generation. We applied a quasi-experimental extended children-of-twins design that included siblings in both generations and took account of nonrandom mating by including partners. Educational attainment was self-reported by mothers and fathers. Mothers reported children's symptoms of ADHD, symptoms of depression, and academic problems by questionnaire when the children were 8 years old. Children of lowly educated parents scored higher on all outcomes and had an approximate doubling of the risk of high symptom levels. The association between maternal and paternal educational attainment and child symptoms of ADHD and academic problems persisted after controlling for shared genetic and family environmental factors. Phenotypic transmission to depression was weaker and in the best fitting model fully explained by genetic factors shared by the two generations. Associations between educational attainment of mothers and fathers and child symptoms of ADHD and academic problems could not be ascribed to shared familial risk factors, whereas associations with symptoms of depression could. Parental education or resources and behaviors resulting from low education might be targets of interventions aimed at reducing symptoms of ADHD and academic problems."
17,A,"Autism Spectrum Disorder is highly heterogeneous, no more so than in the complex world of adult life. Being able to summarize that complexity and have some notion of the confidence with which we could predict outcome from childhood would be helpful for clinical practice and planning. Latent class profile analysis is applied to data from 123 participants from the Early Diagnosis Study (Lord et al., Archives of General Psychiatry, 2006, 63, 694) to summarize in a typology the multifacetted early adult outcome of children referred for autism around age 2. The form of the classes and their predictability from childhood is described. Defined over 15 measures, the adult outcomes were reduced to four latent classes, accounting for much of the variation in cognitive and functional measures but little in the affective measures. The classes could be well and progressively more accurately predicted from childhood IQ and symptom severity measurement taken at age 2 years to age 9 years. Removing verbal and nonverbal IQ and autism symptom severity measurement from the profile of adult measures did not change the number of the latent classes; however, there was some change in the class composition and they were more difficult to predict. While an empirical summary of adult outcome is possible, careful consideration needs to be given to the aspects that should be given priority. An outcome typology that gives weight to cognitive outcomes is well predicted from corresponding measures taken in childhood, even after account for prediction bias from fitting a complex model to a small sample. However, subjective well-being and affective aspects of adult outcome were weakly related to functional outcomes and poorly predicted from childhood."
18,A,"Adolescence is characterized by substantial changes in sleep behavior, heightened exposure to stressful life events (SLEs), and elevated risk for internalizing problems like anxiety and depression. Although SLEs are consistently associated with the onset of internalizing psychopathology, the mechanisms underlying this relationship remain poorly understood, especially at the within-person level. Here, we leverage a high-frequency longitudinal design to examine sleep as a potential mechanism linking SLEs to increases in anxiety and depression symptoms over a one-year period. Thirty female adolescents aged 15-17 years completed 12 monthly in-laboratory assessments of exposure to SLEs and symptoms of anxiety and depression (n = 355 monthly assessments), and wore an actigraphy wristband for continuous monitoring of sleep for the duration of the study (n = 6,824 sleep days). Multilevel models examined concurrent and lagged within-person associations between SLEs, sleep duration and timing regularity, and anxiety and depression symptoms. Within-person fluctuations in SLEs were associated with variability in sleep duration both concurrently and prospectively, such that when adolescents experienced greater SLEs than was typical for them, they exhibited more variable sleep duration that same month as well as the following month. In turn, within-person increases in sleep duration variability predicted greater anxiety symptoms in the same month and mediated the association between SLEs and anxiety. These findings highlight sleep disruptions as a mechanism underlying the longitudinal associations between SLEs and anxiety symptoms, and suggest that interventions promoting sleep schedule consistency may help mitigate risk for stress-related psychopathology in adolescence."
19,A,"The heritability of language and literacy skills increases from early-childhood to adolescence. The underlying mechanisms are little understood and may involve (a) the amplification of genetic influences contributing to early language abilities, and/or (b) the emergence of novel genetic factors (innovation). Here, we investigate the developmental origins of genetic factors influencing mid-childhood/early-adolescent language and literacy. We evaluate evidence for the amplification of early-childhood genetic factors for vocabulary, in addition to genetic innovation processes. Expressive and receptive vocabulary scores at 38 months, thirteen language- and literacy-related abilities and nonverbal cognition (7-13 years) were assessed in unrelated children from the Avon Longitudinal Study of Parents and Children (ALSPAC,N-individuals <= 6,092). We investigated the multivariate genetic architecture underlying early-childhood expressive and receptive vocabulary, and each of 14 mid-childhood/early-adolescent language, literacy or cognitive skills with trivariate structural equation (Cholesky) models as captured by genome-wide genetic relationship matrices. The individual path coefficients of the resulting structural models were finally meta-analysed to evaluate evidence for overarching patterns. We observed little support for the emergence of novel genetic sources for language, literacy or cognitive abilities during mid-childhood or early adolescence. Instead, genetic factors of early-childhood vocabulary, especially those unique to receptive skills, were amplified and represented the majority of genetic variance underlying many of these later complex skills (<= 99%). The most predictive early genetic factor accounted for 29.4%(SE = 12.9%) to 45.1%(SE = 7.6%) of the phenotypic variation in verbal intelligence and literacy skills, but also for 25.7%(SE = 6.4%) in performance intelligence, while explaining only a fraction of the phenotypic variation in receptive vocabulary (3.9%(SE = 1.8%)). Genetic factors contributing to many complex skills during mid-childhood and early adolescence, including literacy, verbal cognition and nonverbal cognition, originate developmentally in early-childhood and are captured by receptive vocabulary. This suggests developmental genetic stability and overarching aetiological mechanisms."
20,A,"Findings from primarily cross-sectional studies have linked more extensive social media use to poorer sleep and affective wellbeing among adolescents and young adults. This study examined bedtime social media use, sleep, and affective wellbeing, using an experience sampling methodology with the aim of establishing a day-to-day temporal link between the variables. The study hypothesized a positive association between increased bedtime social media use and lower affective wellbeing the following day, mediated by poorer sleep. Using a smartphone application, 101 undergraduate students (M-age = 19.70 years,SD = 1.09 years), completed daily questionnaires assessing the previous night's bedtime social media use and sleep duration and satisfaction (one measurement per day, questionnaire sent at 08:00), and momentary affective wellbeing (five measurements per day, at randomly varying times between 08:00 and 22:00 on weekdays and 10:00 and 22:00 on weekends), for 14 consecutive days. Objective assessments of total sleep time and sleep efficiency were obtained via wrist-worn actigraphs. By means of separate multilevel models, it was tested whether increased bedtime social media use predicted poorer sleep the same night, whether poorer sleep was predictive of positive and negative affect the following day, and whether sleep mediated the relationship between social media use and affective wellbeing. Increased bedtime social media use was not associated with poorer sleep the same night. Apart from subjective sleep satisfaction, no other sleep variable (i.e., subjective sleep duration, objective total sleep time and objective sleep efficiency) predicted positive or negative affect the following day. This study found that bedtime social media use is not detrimental to the sleep and affective wellbeing of healthy young adults. However, it is possible that bedtime social media use may be harmful to the sleep of vulnerable individuals."
21,A,"The coronavirus disease 2019 pandemic and the consequent global lockdown posed a particular challenge for youths with mental health problems. Crucial interference with their everyday lives likely increased psychological distress while accessibility of conventional mental health care was limited. Ongoing online trials offer a unique opportunity to analyse mental health status and help-seeking behaviour of adolescents during the pandemic. The ProHEAD-online trial aims at improving help-seeking behaviour of children and adolescents with significant psychological impairment. From January to May 2020, 1,042 students had access to the ProHEAD-online platform providing information on mental illness, monitoring, peer support and professional counselling. In the week from 11 March, when schools were closed in Germany, a drastic (more than 2 standard deviations) but time-limited increase in utilization of the ProHEAD-online services became apparent. This may indicate a worsened mental health status and an increased help seeking via digital services during the lockdown. Although this finding is purely observational, it speaks to the importance of evidence-based online service in the field of mental health within the current crisis and beyond."
22,A,"Autism is more prevalent in males than in females. Hypotheses related to the extreme male brain theory of autism suggest that heightened androgen exposure during early development contributes to autistic traits. Whilst prior research focused mostly on the prenatal period, the current study tests the influences of androgen exposure during both the prenatal and the early postnatal periods on autistic traits during childhood. Anthropometric measures that are putative biomarkers of early androgen exposure were employed. Anogenital distance (AGD) was measured at birth and 3 months of age in boys and girls. Penile length at birth and 3 months of age was also measured in boys. When the children were 9-13 years old, a parent-reported questionnaire (the 10-item children's version of the Autism Spectrum Quotient; AQ-10 Child) was used to assess autistic traits in 97 boys and 110 girls. There were no significant associations between any of the AGD or penile length measures and scores on the AQ-10 Child in boys, girls or the entire sample. The current study provides the first test of whether early measurements of AGD and/or penile length predict subsequent autistic traits. The current findings do not support a relationship between prenatal or early postnatal androgen exposure and autistic traits. The current study augments prior research showing no consistent relationship between early androgen exposure and autistic traits."
23,C,"Star clusters have long been considered to comprise a simple stellar population, but this paradigm is being challenged, since in addition to multiple populations in Galactic globular clusters', a number of younger star clusters exhibit a significant colour spread at the main sequence turn-off(2-9). A sequential evolution of multiple generations of stars formed over 100-200 Myr is a natural explanation of this colour spread(10). Another approach to explain this feature is to introduce the effect of stellar rotation(11). However, its effectiveness has not yet been proven due to the lack of direct measurements of rotational velocities. Here, we report the distribution of projected rotational velocities (V-eq sin i) of stars in the Galactic open cluster M11, measured by Fourier transform analysis. Cluster members display a broad V-eg sin i distribution, and fast rotators, including Be stars, have redder colours than slow rotators. Monte Carlo simulations infer that cluster members have highly aligned spin axes and a broad distribution of equatorial velocities biased towards high velocities. Our synthetic cluster simulation further demonstrates how stellar rotation affects the colours of cluster members, suggesting that the colour spread observed in populous clusters can be understood in the context of stellar evolution without introducing multiple stellar populations."
24,C,"Clouds and aerosols provide unique insight into the chemical and physical processes of gas-giant planets. Mapping and characterizing the spectral features indicative of the cloud structure and composition enables an understanding of a planet's energy budget, chemistry and atmospheric dynamics(1-4). Current space missions to Solar System planets produce high-quality datasets, yet the sheer amount of data obtained often prohibits detailed 'by hand' analyses. Current techniques rely mainly on two approaches: identifying the existence of spectral features by dividing the fluxes of two or more spectral channels, and performing full radiative transfer calculations for individual spectra. The first method is not sufficiently accurate and the second is not easily scalable to the entire planetary surface. Here we have developed a deep learning algorithm, PlanetNet, that is able to quickly and accurately map spatial and spectral features across large, heterogeneous areas of a planet. We use PlanetNet to delineate the major components of the 2008 storm on Saturn(5), enhancing the scope of the area previously studied and indicating regions that can be probed more deeply with radiative transfer models. Our spectral-component maps indicate compositional and cloud variations of the vast region affected by the storm, showing regions of vertical upwelling, and diminished clouds at the centre of compact substorms."
25,C,"Although their parent stars no longer exist, the isotopic and chemical compositions and microstructure of individual stardust grains identified in meteorites provide unique constraints on dust formation and thermodynamic conditions in stellar outflows(1-5). Novae are stellar explosions that take place in the hydrogen-rich envelope accreted onto the surface of a white dwarf in a close binary system(6). The energy released by a suite of nuclear processes operating in the envelope powers a thermonuclear runaway, resulting in the ejection of processed material into the interstellar medium. Spectral fitting of features observed in the infrared spectra of dust-forming novae provided evidence of the co-condensation of both carbonaceous and silicate dust in stellar outflows within 50 to 100 days after explosion(7-9). Although novae appear as prolific producers of both carbon-and oxygen-rich dust, very few presolar grains that can be attributed to novae have been found in meteorites thus far(10-16). Here, we report the identification of an oxygen-rich inclusion, composed of both silicate and oxide nanoparticles, inside a graphite spherule that originated in the ejecta of a low-mass carbon- and oxygen-rich (CO) nova. This observation establishes laboratory evidence of the co-condensation of oxygen- and carbon-rich dust in nova outbursts and is consistent with large-scale transport and mixing of materials between chemically distinct clumps in the nova ejecta."
