course_code,course_title,course_type,offered,frequency,instructor,summary
INFO6330,Cataloguing & Classification,elective,Winter,Every year,"Spiteri, PhD, Louise (Professor)","Examines the theories, principles, and practices of bibliographic description, including the application of national standards. Covers the description of print and non-print sources, principles and practices of authority work, the application of encoding..."
INFO6370,Records management,elective,Winter,Every year,"Spiteri, Louise (Professor)","A comprehensive introduction to the field of records and information management. Topics covered include: records creation, evaluation, maintenance and control; issues related to the maintenance, storage and disposition of records; and electronic records ..."
INFO6400,Knowledge Management,elective,Fall,alternating even years,"Pluzhenskaya, Marina (Adjunct (FGS))","Surveys the latest Knowledge Management theories and practices from information science, management, cognitive/educational psychology and computer science.  Focuses on the nature of knowledge construction by examining the identification, capture, applica..."
INFO6450,Services and Resources for Children,elective,Winter,alternating even years,"Brown, Alison (Lecturer)","Examines the reading and viewing interests of children. Topics covered include a brief overview of developmental psychology, the history of children's literature, developing successful library programmes for children and their caregivers, building the ch..."
INFO6500,Community-Led Services,elective,Summer,alternating odd years,"Brown, Alison (Lecturer)","Students will learn how to identify the interests and needs of particular client groups, and how to integrate these needs into the ongoing operations of an information organization.  Particular attention will be given to working in the community with vul..."
INFO6513,Business Analytics & Data Visualization,advanced technology,Fall,every year,"Conrad, Colin (Assistant Professor)","This course provides an introduction to Business Analytics and Data Visualization. It covers the processes, methodologies and practices used to transform the large amounts of business and public data (referred to as ""Big Data"") into useful information to..."
INFO6540,Data Management,core,Winter,Every year,"Mongeon, Philippe (Assistant Professor)","Introduces the theory and practice of managing data, covering technology-driven solutions to the challenges of storing, curating, and retrieving unstructured, semi-structured, and structured data. Topics include tabular data, assessing data management re..."
INFO6560,Information Resources Management,elective,Fall,Every year,"Makani, Joyline (Assistant Professor)","Examines information resource management (IRM) theories and methods, including exploration of issues associated with the information marketplace, resource evaluation and acquisition, policies, budget allocation, and vendor and user relations."
INFO6610,Information Policy,elective,Fall,Alternating Odd Years,"Stenstrom, Cheryl (Adjunct (FGS))","Explores, in a graduate seminar setting, a range of issues currently facing information professionals and the effect of these issues on policy development. Discusses the roles of all levels of government, the private and not-for-profit sectors, and key i..."
INFO6620,Web Design & Architecture,advanced technology,Winter,Every year,"Lawson, Keith (Assistant Professor)","Examines the theories, techniques and processes used to create, structure, and deliver electronic text. Topics include writing and design for the web, information architecture, and document analysis for digitization. Focuses on practical experience with ..."
Info6630,User Experience,elective,Fall,alternating even years,"Deschamps, Ryan (N/A)","Explores how technology affects human use, and examines the process from conception of an idea to design and evaluation, with a particular emphasis on Web-based activities."
INFO 6681,Geospatial Information Management,advanced technology,Fall,Every year,#N/A,Spatial Information is the air and water that makes mapping and spatial analysis possible. Mobile applications using maps are some of the most popular and often used web-based applications; they are also cloud based which added another layer of managemen...
INFO6682,Human Information Interaction,elective,Winter,alternating even years,"Stenstrom, Cheryl (Adjunct (FGS))","This course will examine information seeking behaviour in a variety of settings (health care, private and public organizations, academic institutions, etc.), individual and group information seeking and use in these contexts, and the theories and models ..."
INFO6700,Reading Course,elective,,"Fall, Winter & Summer terms",0,Reading courses are intended to add flexibility to your MLIS program by providing you with an opportunity to develop a specific interest in the information management field.  A reading course will enable you to study an aspect of a topic in greater detai...
INFO6710,Reading Course,elective,,"Fall, Winter & Summer terms",,Reading courses are intended to add flexibility to your MLIS program by providing you with an opportunity to develop a specific interest in the information management field.  A reading course will enable you to study an aspect of a topic in greater detai...
INFO6750,Health Sciences Literature and Information Sources,elective,Winter,alternating even years,"Boulos, Leah (N/A)",Introduces students to the concepts and practice of health science librarianship with particular emphasis on the various print and electronic reference sources in the health sciences.
INFO6800,Archives,elective,Winter,Every year,"Bannister, Patti (Lecturer)","Provides an overview of the issues and practices of archival science, with emphasis on Canadian approaches. Considers principles of acquisition, arrangement, description, reference and use of archival records, along with the management of archives and th..."
INFO6810,Managing Information Literacy Instruction,elective,Winter,Every year,"McNiff, Lindsay (Lecturer & IM Subject Specialist)","This course introduces selected theories and methods for managing processes designed to educate students, patrons, and clients in information research skills. Concepts covered relate to the design, implementation, evaluation, and management of instructio..."
INFO6840,Content Management Systems,advanced technology,Fall,Every year,"Lawson, Keith (Assistant Professor)",Introduces the requirements and technologies of networked content management systems. Follows the evolution of the digital content and its impact on information dissemination. Examines issues and trends influencing the development and structure of conten...
INFO6850,Special Topics in Information Management,elective,,,,"Builds on topics introduced in required courses, particularly those dealing with applications of information technology in information management. This course will take a more in-depth look at the major topics in the field. The content will change rapidl..."
INFO6860,Archives II,elective,Fall,Every year,"Bannister, Patti (Lecturer)","This course will consider advanced topics in archives, with an emphasis on Canadian practice. It will provide an overview of the management of archives by closely examining topics including donor relations, archival and monetary appraisal, multi-level ar..."
INFO9003,Thesis Continuing,elective,,,,"All thesis-option MLIS students who are continuing work on their thesis must register for this course. For more details, see the Thesis Guide."
MGMT5000,Management Without Borders,capstone,Fall,Every year,"Baechler, Jenny (Course Coordinator)","This course places management in its broadest context and helps students from diverse disciplines explore the complex social, economic, ecological, political and technological forces shaping 21st century leadership in the public, private and non-profit s..."
MGMT5001,"Information, People & Society",core,Fall,,"Stenstrom, Cheryl (Adjunct (FGS))","An introduction to the economic, political and social dimensions of an information-rich environment. This course includes consideration of the historical development of information and knowledge production, issues of control versus free flow of informati..."
MGMT5002,Organization of Information,core,Winter,,"Pluzhenskaya, Marina (Adjunct (FGS))","This class examines the various means by which information can be organized to facilitate its retrieval, management and use. The class also provides an overview of the principles and theories of metadata development and implementation in the digital envi..."
MGMT5003,Information Systems and Technologies,core,Fall,,"Sullivan, Grant (N/A)","This class makes clear the relationship between IT and information management, often misconstrued in organizations. The class includes theories of databases and integrated systems design, allied with practical applications of a wide range of information ..."
MGMT5004,User Experience,core,Summer,,"Deschamps, Ryan (N/A)",Understanding theories and practices of human-computer interaction is critical to organizational success. This class explores how technology affects human use and examines the process (from conception of an idea to design and evaluation) – with a parti...
MGMT5005,Information Policy,core,Fall,,"Deschamps, Ryan (N/A)","Under Canadian law, all government and corporations must appoint someone to take responsibility for privacy within their respective organization – and all government and selected other agencies are required to delegate staff responsible for information..."
MGMT5006,Program Evaluation,core,Fall,,"Chaytor, Kaireen (Adjunct Professor)","Program evaluation is a structured approach to assessing program delivery with a goal of continuous improvement. This class introduces theories and techniques of evaluation including goal-setting, planning, design, development of indicators and measures,..."
MGMT5007,Research Methods,core,Fall,,"Mitraka, Elvira (N/A)","This class introduces concepts, methods (both quantitative and qualitative), and the practices of research that support evidence-based information management practice. The class addresses the nature and uses of research, tools for research, handling of e..."
MGMT5008,Knowledge Management,core,Winter,,"Pluzhenskaya, Marina (Adjunct (FGS))","Knowledge management (KM) encompasses a range of theories and practices relating to the creation, identification, accumulation and application of knowledge to meet organizational goals. This class discusses theories of KM, intellectual capital and learni..."
MGMT5009,Collaboration,elective,Summer,,"Makani, Joyline (Assistant Professor)","Geographically dispersed virtual workplace teams that cross time, space and organizational boundaries are increasingly common. As a result, information managers are more and more frequently called on to ensure these teams have effective decision-making p..."
MGMT5010,Project Management,elective,Summer,,"Robichaud, Paul (N/A)","This class introduces theories and practices of project management (PM) related to project objectives, development stages and control variables such as time, cost and scope. PM stages include initiation, development, execution and maintenance. This class..."
MGMT5011,Management of Privacy,elective,Summer,,"Heggie, Carla (Adjunct Professor)",This course provides an overview of privacy and how it impacts organizations in both the private and public sectors. In this course we will address the various ways of identifying and mitigating privacy risk.
MGMT5012,Records Management,elective,Winter,,"Spiteri, Louise (Professor)",How organizations engage in document or records management has a direct bearing on their efficiency and effectiveness – including their legal and ethical compliance. This class offers a comprehensive introduction to the field of records and information...
MGMT5020,Case Study or Research Project,capstone,Winter,,"Stenstrom, Cheryl (Adjunct (FGS))","Based on your learning objectives, you may choose either a case study or a research project as your final assessed item. Please note: this class is mandatory. Please note also that you should take either MGMT5006 or MGMT5007 to prepare for this class. Th..."
,,,,,,
